interacting_pair	gene_a	gene_b	tissue	region
CCL14_ACKR2	CCL14	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL2_ACKR2	CCL2	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL3_ACKR2	CCL3	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL4_ACKR2	CCL4	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL5_ACKR2	CCL5	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL7_ACKR2	CCL7	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL8_ACKR2	CCL8	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL11_CCR3	CCL11	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL13_CCR3	CCL13	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL14_CCR3	CCL14	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL15_CCR3	CCL15	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL24_CCR3	CCL24	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL26_CCR3	CCL26	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL3_CCR3	CCL3	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR3	CCL5	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR3	CCL7	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR3	CCL8	CCR3	large_intestine	HBM942.WHFC.488_reg001
CCL11_DPP4	CCL11	DPP4	large_intestine	HBM942.WHFC.488_reg001
CCL22_DPP4	CCL22	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL10_DPP4	CXCL10	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL11_DPP4	CXCL11	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL12_DPP4	CXCL12	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL2_DPP4	CXCL2	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL9_DPP4	CXCL9	DPP4	large_intestine	HBM942.WHFC.488_reg001
CCL13_CCR2	CCL13	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL16_CCR2	CCL16	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL2_CCR2	CCL2	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL26_CCR2	CCL26	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR2	CCL7	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR2	CCL8	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL14_CCR1	CCL14	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL15_CCR1	CCL15	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL16_CCR1	CCL16	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL23_CCR1	CCL23	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL26_CCR1	CCL26	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL3_CCR1	CCL3	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR1	CCL5	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR1	CCL7	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR1	CCL8	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL16_HRH4	CCL16	HRH4	large_intestine	HBM942.WHFC.488_reg001
CCL17_CCR4	CCL17	CCR4	large_intestine	HBM942.WHFC.488_reg001
CCL22_CCR4	CCL22	CCR4	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR4	CCL5	CCR4	large_intestine	HBM942.WHFC.488_reg001
CCL19_ACKR4	CCL19	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL21_ACKR4	CCL21	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL25_ACKR4	CCL25	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CXCL13_ACKR4	CXCL13	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL19_CCR7	CCL19	CCR7	large_intestine	HBM942.WHFC.488_reg001
CCL21_CCR7	CCL21	CCR7	large_intestine	HBM942.WHFC.488_reg001
CCL19_CCRL2	CCL19	CCRL2	large_intestine	HBM942.WHFC.488_reg001
RARRES2_CCRL2	RARRES2	CCRL2	large_intestine	HBM942.WHFC.488_reg001
CCL2_ACKR1	CCL2	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CCL5_ACKR1	CCL5	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CXCL1_ACKR1	CXCL1	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CXCL8_ACKR1	CXCL8	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CCL20_CCR6	CCL20	CCR6	large_intestine	HBM942.WHFC.488_reg001
CCL25_CCR9	CCL25	CCR9	large_intestine	HBM942.WHFC.488_reg001
CCL28_CCR10	CCL28	CCR10	large_intestine	HBM942.WHFC.488_reg001
CCL3_CCR5	CCL3	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL4_CCR5	CCL4	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR5	CCL5	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR5	CCL7	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR5	CCL8	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL5_GPR75	CCL5	GPR75	large_intestine	HBM942.WHFC.488_reg001
PPBP_CXCR1	PPBP	CXCR1	large_intestine	HBM942.WHFC.488_reg001
CXCL1_CXCR1	CXCL1	CXCR1	large_intestine	HBM942.WHFC.488_reg001
CXCL5_CXCR1	CXCL5	CXCR1	large_intestine	HBM942.WHFC.488_reg001
CXCL6_CXCR1	CXCL6	CXCR1	large_intestine	HBM942.WHFC.488_reg001
CXCL8_CXCR1	CXCL8	CXCR1	large_intestine	HBM942.WHFC.488_reg001
PPBP_CXCR2	PPBP	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL1_CXCR2	CXCL1	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL2_CXCR2	CXCL2	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL3_CXCR2	CXCL3	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL5_CXCR2	CXCL5	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL6_CXCR2	CXCL6	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL8_CXCR2	CXCL8	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL10_CXCR3	CXCL10	CXCR3	large_intestine	HBM942.WHFC.488_reg001
CXCL11_CXCR3	CXCL11	CXCR3	large_intestine	HBM942.WHFC.488_reg001
CXCL9_CXCR3	CXCL9	CXCR3	large_intestine	HBM942.WHFC.488_reg001
CXCL11_ACKR3	CXCL11	ACKR3	large_intestine	HBM942.WHFC.488_reg001
CXCL12_CXCR4	CXCL12	CXCR4	large_intestine	HBM942.WHFC.488_reg001
CXCL14_CXCR4	CXCL14	CXCR4	large_intestine	HBM942.WHFC.488_reg001
CXCL13_CXCR5	CXCL13	CXCR5	large_intestine	HBM942.WHFC.488_reg001
CXCL16_CXCR6	CXCL16	CXCR6	large_intestine	HBM942.WHFC.488_reg001
CCK_CCKBR	CCK	CCKBR	large_intestine	HBM942.WHFC.488_reg001
GAST_CCKBR	GAST	CCKBR	large_intestine	HBM942.WHFC.488_reg001
C1QL1_ADGRB3	C1QL1	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C1QL3_ADGRB3	C1QL3	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C1QL4_ADGRB3	C1QL4	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C5_C5AR2	C5	C5AR2	large_intestine	HBM942.WHFC.488_reg001
C5_C5AR1	C5	C5AR1	large_intestine	HBM942.WHFC.488_reg001
CRH_CRHR2	CRH	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN_CRHR2	UCN	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN2_CRHR2	UCN2	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN3_CRHR2	UCN3	CRHR2	large_intestine	HBM942.WHFC.488_reg001
CSF1_CSF1R	CSF1	CSF1R	large_intestine	HBM942.WHFC.488_reg001
IL34_CSF1R	IL34	CSF1R	large_intestine	HBM942.WHFC.488_reg001
CSF3_CSF3R	CSF3	CSF3R	large_intestine	HBM942.WHFC.488_reg001
DHH_HHIP	DHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
IHH_HHIP	IHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
SHH_HHIP	SHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
EDN1_EDNRA	EDN1	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN2_EDNRA	EDN2	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN3_EDNRA	EDN3	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN1_EDNRB	EDN1	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EDN2_EDNRB	EDN2	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EDN3_EDNRB	EDN3	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA1	EFNA1	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA1	EFNA2	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA1	EFNA3	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA1	EFNA4	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA1	EFNA5	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA2	EFNA1	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA2	EFNA2	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA2	EFNA3	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA2	EFNA4	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA2	EFNA5	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHA2	EFNB1	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA3	EFNA1	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA3	EFNA2	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA3	EFNA3	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA3	EFNA4	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA3	EFNA5	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA4	EFNA1	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA4	EFNA2	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA4	EFNA3	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA4	EFNA4	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA4	EFNA5	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHA4	EFNB1	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHA4	EFNB2	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHA4	EFNB3	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA5	EFNA1	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA5	EFNA2	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA5	EFNA3	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA5	EFNA4	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA5	EFNA5	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA7	EFNA1	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA7	EFNA2	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA7	EFNA3	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA7	EFNA4	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA7	EFNA5	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA8	EFNA1	EPHA8	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA8	EFNA2	EPHA8	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA8	EFNA3	EPHA8	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA8	EFNA4	EPHA8	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA8	EFNA5	EPHA8	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHB2	EFNA5	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB2	EFNB1	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB2	EFNB2	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB2	EFNB3	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB1	EFNB1	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB1	EFNB2	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB1	EFNB3	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB3	EFNB1	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB3	EFNB2	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB3	EFNB3	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB4	EFNB1	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB4	EFNB2	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB4	EFNB3	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB6	EFNB1	EPHB6	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB6	EFNB2	EPHB6	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB6	EFNB3	EPHB6	large_intestine	HBM942.WHFC.488_reg001
AREG_EGFR	AREG	EGFR	large_intestine	HBM942.WHFC.488_reg001
BTC_EGFR	BTC	EGFR	large_intestine	HBM942.WHFC.488_reg001
EGF_EGFR	EGF	EGFR	large_intestine	HBM942.WHFC.488_reg001
EPGN_EGFR	EPGN	EGFR	large_intestine	HBM942.WHFC.488_reg001
EREG_EGFR	EREG	EGFR	large_intestine	HBM942.WHFC.488_reg001
HBEGF_EGFR	HBEGF	EGFR	large_intestine	HBM942.WHFC.488_reg001
TGFA_EGFR	TGFA	EGFR	large_intestine	HBM942.WHFC.488_reg001
BTC_ERBB3	BTC	ERBB3	large_intestine	HBM942.WHFC.488_reg001
NRG1_ERBB3	NRG1	ERBB3	large_intestine	HBM942.WHFC.488_reg001
NRG2_ERBB3	NRG2	ERBB3	large_intestine	HBM942.WHFC.488_reg001
BTC_ERBB4	BTC	ERBB4	large_intestine	HBM942.WHFC.488_reg001
EREG_ERBB4	EREG	ERBB4	large_intestine	HBM942.WHFC.488_reg001
HBEGF_ERBB4	HBEGF	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG1_ERBB4	NRG1	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG2_ERBB4	NRG2	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG3_ERBB4	NRG3	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG4_ERBB4	NRG4	ERBB4	large_intestine	HBM942.WHFC.488_reg001
HBEGF_ERBB2	HBEGF	ERBB2	large_intestine	HBM942.WHFC.488_reg001
FCER2_CR2	FCER2	CR2	large_intestine	HBM942.WHFC.488_reg001
FCER2_FGFR2	FCER2	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF1_FGFR2	FGF1	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF10_FGFR2	FGF10	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR2	FGF2	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF22_FGFR2	FGF22	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF7_FGFR2	FGF7	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF1_FGFR1	FGF1	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR1	FGF2	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF4_FGFR1	FGF4	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF5_FGFR1	FGF5	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF6_FGFR1	FGF6	FGFR1	large_intestine	HBM942.WHFC.488_reg001
NCAM1_FGFR1	NCAM1	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF1_FGFR3	FGF1	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF17_FGFR3	FGF17	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR3	FGF2	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF9_FGFR3	FGF9	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF1_FGFR4	FGF1	FGFR4	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR4	FGF2	FGFR4	large_intestine	HBM942.WHFC.488_reg001
FGL1_LAG3	FGL1	LAG3	large_intestine	HBM942.WHFC.488_reg001
NCAM1_AGRN	NCAM1	AGRN	large_intestine	HBM942.WHFC.488_reg001
FLRT1_ADGRL1	FLRT1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
FLRT2_ADGRL1	FLRT2	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN1_ADGRL1	NRXN1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN2_ADGRL1	NRXN2	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN3_ADGRL1	NRXN3	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
TENM1_ADGRL1	TENM1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
TENM2_ADGRL1	TENM2	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
TENM3_ADGRL1	TENM3	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
TENM4_ADGRL1	TENM4	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
FLRT1_ADGRL3	FLRT1	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
FLRT2_ADGRL3	FLRT2	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
FLRT3_ADGRL3	FLRT3	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
TENM1_ADGRL3	TENM1	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
TENM2_ADGRL3	TENM2	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
TENM3_ADGRL3	TENM3	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
TENM4_ADGRL3	TENM4	ADGRL3	large_intestine	HBM942.WHFC.488_reg001
FLRT3_ADGRL2	FLRT3	ADGRL2	large_intestine	HBM942.WHFC.488_reg001
TENM1_ADGRL2	TENM1	ADGRL2	large_intestine	HBM942.WHFC.488_reg001
TENM2_ADGRL2	TENM2	ADGRL2	large_intestine	HBM942.WHFC.488_reg001
TENM3_ADGRL2	TENM3	ADGRL2	large_intestine	HBM942.WHFC.488_reg001
TENM4_ADGRL2	TENM4	ADGRL2	large_intestine	HBM942.WHFC.488_reg001
GAL_GALR1	GAL	GALR1	large_intestine	HBM942.WHFC.488_reg001
GALP_GALR1	GALP	GALR1	large_intestine	HBM942.WHFC.488_reg001
GAL_GALR2	GAL	GALR2	large_intestine	HBM942.WHFC.488_reg001
GALP_GALR2	GALP	GALR2	large_intestine	HBM942.WHFC.488_reg001
GAL_GALR3	GAL	GALR3	large_intestine	HBM942.WHFC.488_reg001
GALP_GALR3	GALP	GALR3	large_intestine	HBM942.WHFC.488_reg001
LGALS3_MERTK	LGALS3	MERTK	large_intestine	HBM942.WHFC.488_reg001
GAS6_MERTK	GAS6	MERTK	large_intestine	HBM942.WHFC.488_reg001
LGALS9_HAVCR2	LGALS9	HAVCR2	large_intestine	HBM942.WHFC.488_reg001
LGALS9_P4HB	LGALS9	P4HB	large_intestine	HBM942.WHFC.488_reg001
GIP_GIPR	GIP	GIPR	large_intestine	HBM942.WHFC.488_reg001
NMB_GRPR	NMB	GRPR	large_intestine	HBM942.WHFC.488_reg001
NMB_NMBR	NMB	NMBR	large_intestine	HBM942.WHFC.488_reg001
GAS6_AXL	GAS6	AXL	large_intestine	HBM942.WHFC.488_reg001
GAS6_TYRO3	GAS6	TYRO3	large_intestine	HBM942.WHFC.488_reg001
GHRH_GHRHR	GHRH	GHRHR	large_intestine	HBM942.WHFC.488_reg001
GHRL_GHRHR	GHRL	GHRHR	large_intestine	HBM942.WHFC.488_reg001
GHRL_GHSR	GHRL	GHSR	large_intestine	HBM942.WHFC.488_reg001
GHRL_GPR39	GHRL	GPR39	large_intestine	HBM942.WHFC.488_reg001
HLA-B_KIR3DL2	HLA-B	KIR3DL2	large_intestine	HBM942.WHFC.488_reg001
HLA-F_KIR3DL2	HLA-F	KIR3DL2	large_intestine	HBM942.WHFC.488_reg001
HLA-E_KLRC1	HLA-E	KLRC1	large_intestine	HBM942.WHFC.488_reg001
HLA-E_KLRC2	HLA-E	KLRC2	large_intestine	HBM942.WHFC.488_reg001
HLA-E_KLRK1	HLA-E	KLRK1	large_intestine	HBM942.WHFC.488_reg001
HLA-F_LILRB1	HLA-F	LILRB1	large_intestine	HBM942.WHFC.488_reg001
HLA-G_LILRB1	HLA-G	LILRB1	large_intestine	HBM942.WHFC.488_reg001
HLA-F_LILRB2	HLA-F	LILRB2	large_intestine	HBM942.WHFC.488_reg001
HLA-G_LILRB2	HLA-G	LILRB2	large_intestine	HBM942.WHFC.488_reg001
INSL3_RXFP2	INSL3	RXFP2	large_intestine	HBM942.WHFC.488_reg001
RLN2_RXFP2	RLN2	RXFP2	large_intestine	HBM942.WHFC.488_reg001
RLN3_RXFP2	RLN3	RXFP2	large_intestine	HBM942.WHFC.488_reg001
INSL5_RXFP4	INSL5	RXFP4	large_intestine	HBM942.WHFC.488_reg001
KNG1_RXFP4	KNG1	RXFP4	large_intestine	HBM942.WHFC.488_reg001
RLN3_RXFP4	RLN3	RXFP4	large_intestine	HBM942.WHFC.488_reg001
IGF1_IGF1R	IGF1	IGF1R	large_intestine	HBM942.WHFC.488_reg001
IGF2_IGF1R	IGF2	IGF1R	large_intestine	HBM942.WHFC.488_reg001
IGF2_IGF2R	IGF2	IGF2R	large_intestine	HBM942.WHFC.488_reg001
IGFBP3_TMEM219	IGFBP3	TMEM219	large_intestine	HBM942.WHFC.488_reg001
IGFL1_IGFLR1	IGFL1	IGFLR1	large_intestine	HBM942.WHFC.488_reg001
IGFL2_IGFLR1	IGFL2	IGFLR1	large_intestine	HBM942.WHFC.488_reg001
IGFL3_IGFLR1	IGFL3	IGFLR1	large_intestine	HBM942.WHFC.488_reg001
IL13_IL13RA2	IL13	IL13RA2	large_intestine	HBM942.WHFC.488_reg001
IL1RAP_PTPRF	IL1RAP	PTPRF	large_intestine	HBM942.WHFC.488_reg001
LRRC4B_PTPRF	LRRC4B	PTPRF	large_intestine	HBM942.WHFC.488_reg001
LRRC4C_PTPRF	LRRC4C	PTPRF	large_intestine	HBM942.WHFC.488_reg001
LRFN4_PTPRF	LRFN4	PTPRF	large_intestine	HBM942.WHFC.488_reg001
LRFN5_PTPRF	LRFN5	PTPRF	large_intestine	HBM942.WHFC.488_reg001
KNG1_BDKRB1	KNG1	BDKRB1	large_intestine	HBM942.WHFC.488_reg001
KNG1_BDKRB2	KNG1	BDKRB2	large_intestine	HBM942.WHFC.488_reg001
LEFTY1_TDGF1	LEFTY1	TDGF1	large_intestine	HBM942.WHFC.488_reg001
LEFTY2_TDGF1	LEFTY2	TDGF1	large_intestine	HBM942.WHFC.488_reg001
CLEC2A_KLRF2	CLEC2A	KLRF2	large_intestine	HBM942.WHFC.488_reg001
CLEC2B_KLRF1	CLEC2B	KLRF1	large_intestine	HBM942.WHFC.488_reg001
LRRC4B_PTPRD	LRRC4B	PTPRD	large_intestine	HBM942.WHFC.488_reg001
LRFN4_PTPRD	LRFN4	PTPRD	large_intestine	HBM942.WHFC.488_reg001
LRFN5_PTPRD	LRFN5	PTPRD	large_intestine	HBM942.WHFC.488_reg001
NLGN3_PTPRD	NLGN3	PTPRD	large_intestine	HBM942.WHFC.488_reg001
SLITRK1_PTPRD	SLITRK1	PTPRD	large_intestine	HBM942.WHFC.488_reg001
SLITRK2_PTPRD	SLITRK2	PTPRD	large_intestine	HBM942.WHFC.488_reg001
SLITRK3_PTPRD	SLITRK3	PTPRD	large_intestine	HBM942.WHFC.488_reg001
LTB_LTBR	LTB	LTBR	large_intestine	HBM942.WHFC.488_reg001
TNFSF14_LTBR	TNFSF14	LTBR	large_intestine	HBM942.WHFC.488_reg001
LPAR1_ADGRE5	LPAR1	ADGRE5	large_intestine	HBM942.WHFC.488_reg001
LPAR2_ADGRE5	LPAR2	ADGRE5	large_intestine	HBM942.WHFC.488_reg001
LPAR3_ADGRE5	LPAR3	ADGRE5	large_intestine	HBM942.WHFC.488_reg001
THY1_ADGRE5	THY1	ADGRE5	large_intestine	HBM942.WHFC.488_reg001
MDK_ALK	MDK	ALK	large_intestine	HBM942.WHFC.488_reg001
PTN_ALK	PTN	ALK	large_intestine	HBM942.WHFC.488_reg001
MDK_PTPRZ1	MDK	PTPRZ1	large_intestine	HBM942.WHFC.488_reg001
PTN_PTPRZ1	PTN	PTPRZ1	large_intestine	HBM942.WHFC.488_reg001
NECTIN3_PVR	NECTIN3	PVR	large_intestine	HBM942.WHFC.488_reg001
NTN1_DCC	NTN1	DCC	large_intestine	HBM942.WHFC.488_reg001
NTN1_DSCAM	NTN1	DSCAM	large_intestine	HBM942.WHFC.488_reg001
NTN1_UNC5A	NTN1	UNC5A	large_intestine	HBM942.WHFC.488_reg001
NTN1_UNC5B	NTN1	UNC5B	large_intestine	HBM942.WHFC.488_reg001
NTN4_UNC5B	NTN4	UNC5B	large_intestine	HBM942.WHFC.488_reg001
NTN1_UNC5C	NTN1	UNC5C	large_intestine	HBM942.WHFC.488_reg001
NTN4_UNC5D	NTN4	UNC5D	large_intestine	HBM942.WHFC.488_reg001
NRXN1_DAG1	NRXN1	DAG1	large_intestine	HBM942.WHFC.488_reg001
NRXN2_DAG1	NRXN2	DAG1	large_intestine	HBM942.WHFC.488_reg001
NMS_NMUR1	NMS	NMUR1	large_intestine	HBM942.WHFC.488_reg001
NMU_NMUR1	NMU	NMUR1	large_intestine	HBM942.WHFC.488_reg001
NMS_NMUR2	NMS	NMUR2	large_intestine	HBM942.WHFC.488_reg001
NMU_NMUR2	NMU	NMUR2	large_intestine	HBM942.WHFC.488_reg001
NPFF_NPFFR1	NPFF	NPFFR1	large_intestine	HBM942.WHFC.488_reg001
NPFF_NPFFR2	NPFF	NPFFR2	large_intestine	HBM942.WHFC.488_reg001
NPPA_NPR1	NPPA	NPR1	large_intestine	HBM942.WHFC.488_reg001
NTF3_NTRK3	NTF3	NTRK3	large_intestine	HBM942.WHFC.488_reg001
CNTN1_NOTCH1	CNTN1	NOTCH1	large_intestine	HBM942.WHFC.488_reg001
DLK1_NOTCH1	DLK1	NOTCH1	large_intestine	HBM942.WHFC.488_reg001
DLL1_NOTCH1	DLL1	NOTCH1	large_intestine	HBM942.WHFC.488_reg001
DLL3_NOTCH1	DLL3	NOTCH1	large_intestine	HBM942.WHFC.488_reg001
